Id	D8B1	D8B2	D8B3	D8B6	D8B7	D8B8	D8B9	D20B1	D20B2	D20B3	D20B6	D20B7	D20B8	D20B9	norm.D8B1	norm.D8B2	norm.D8B3	norm.D8B6	norm.D8B7	norm.D8B8	norm.D8B9	norm.D20B1	norm.D20B2	norm.D20B3	norm.D20B6	norm.D20B7	norm.D20B8	norm.D20B9	baseMean	D8	D20	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
PRELSG_0000100	645	363	59	622	848	1192	554	268	3	61	4	64	39	5	54	97	151	121	79	93	78	120	55	192	99	103	202	65	107.73	96	119	1.36	0.444	1.791	0.0732661982466575	0.991295925212038	0.0804	0.0635	0.0728	0.0728	TRUE	NA
PRELSG_0000180	23	11	3	48	31	54	22	28	0	2	1	1	1	1	2	3	8	9	3	4	3	12	0	6	25	2	5	13	6.81	5	9	2.012	1.009	1.598	0.109987392032579	0.999204487240972	0.2872	0.3204	0.3041	0.3041	TRUE	NA
PRELSG_0000200	21	10	1	4	8	18	9	1	0	0	0	13	3	0	2	3	3	1	1	1	1	0	0	0	0	21	16	0	3.43	2	5	2.847	1.509	1.574	0.115404751699555	NA	1.3479	0.5908	0.9591	0.9591	TRUE	NA
PRELSG_0000300	18	4	0	11	15	19	18	6	0	0	0	2	0	0	2	1	0	2	1	1	3	3	0	0	0	3	0	0	1.15	1	1	1.602	0.68	0.664	0.506924315761541	NA	0	1.6778	0.9837	0.9837	TRUE	NA
PRELSG_0000400	3	3	0	0	4	3	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	3.445	1.784	0.711	0.476857521559951	NA	0	10.9967	9.3836	9.3836	TRUE	NA
PRELSG_0000500	30	23	0	15	26	38	24	5	0	2	0	2	1	0	3	6	0	3	2	3	3	2	0	6	0	3	5	0	2.66	3	2	1.317	0.397	0.513	0.60773269173969	NA	0	0.7483	0.4362	0.4362	TRUE	NA
PRELSG_0000600	8	1	0	4	7	18	4	3	0	1	0	0	0	1	1	0	0	1	1	1	1	1	0	3	0	0	0	13	1.56	1	2	3.227	1.69	1.673	0.0942294842043778	NA	0	1.2467	0.8553	0.8553	TRUE	NA
PRELSG_0000700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRELSG_0000800	127	86	12	98	159	218	114	48	0	8	1	4	3	3	11	23	31	19	15	17	16	21	0	25	25	6	16	39	18.83	19	19	1.035	0.05	0.119	0.905332342445622	0.999204487240972	0.143	0.1454	0.1446	0.1446	TRUE	NA
PRELSG_0000900	87	23	5	38	76	70	65	12	1	1	0	5	0	1	7	6	13	7	7	5	9	5	18	3	0	8	0	13	7.37	8	7	0.769	-0.378	-0.668	0.503925273745096	0.999204487240972	0	0.2998	0.1859	0.1859	TRUE	NA
PRELSG_0001000	69	41	3	41	85	70	71	28	1	9	1	3	9	1	6	11	8	8	8	5	10	12	18	28	25	5	47	13	14.57	8	21	2.367	1.243	2.56	0.0104724091378982	0.422947098455241	0.2663	0.1745	0.2209	0.2209	TRUE	NA
PRELSG_0001100	81	12	5	14	61	39	40	9	2	0	0	4	0	0	7	3	13	3	6	3	6	4	36	0	0	6	0	0	6.2	6	7	0.807	-0.31	-0.381	0.703377681821541	0.999204487240972	0.9286	0.3473	0.5979	0.5979	TRUE	NA
PRELSG_0001150	12	2	1	0	9	10	11	1	0	0	0	3	0	0	1	1	3	0	1	1	2	0	0	0	0	5	0	0	0.9	1	1	2.239	1.163	0.918	0.358676139053924	NA	0	2.1311	1.8315	1.8315	TRUE	NA
PRELSG_0001200	136	80	16	179	202	120	127	50	0	6	1	17	4	0	11	21	41	35	19	9	18	22	0	19	25	27	21	0	19.19	22	16	1.06	0.085	0.204	0.83809335060599	0.999204487240972	0.1448	0.1436	0.144	0.144	TRUE	NA
PRELSG_0001300	150	34	3	42	62	85	90	6	0	1	0	10	4	4	13	9	8	8	6	7	13	3	0	3	0	16	21	52	11.22	9	14	1.191	0.252	0.393	0.694268550290966	0.999204487240972	0.5747	0.2127	0.3991	0.3991	TRUE	NA
PRELSG_0001400	1914	559	42	587	1237	1365	773	345	4	5	1	155	2	5	160	149	108	114	116	107	109	154	73	16	25	249	10	65	103.85	123	85	0.488	-1.034	-2.374	0.0176192784367595	0.569539410665168	0.4427	0.0642	0.2446	0.2446	TRUE	NA
